Age,Ba138Ca,BaCa,SrCa,UCa
1800.778,0.00352173,0.00358624,8.64344,0.00110263
1800.79,0.00348112,0.00348861,8.73671,0.00109754
1800.803,0.00347668,0.00347816,8.64923,0.00111427
1800.815,0.00326944,0.00347207,8.52934,0.00102165
1800.828,0.00340379,0.00350717,8.59654,0.00103014
1800.84,0.0035558,0.00358423,8.63311,0.00107097
1800.853,0.00348632,0.00357321,8.69891,0.00115103
1800.866,0.00359632,0.00360748,8.8107,0.00125061
1800.878,0.00347069,0.00365884,8.82998,0.00121276
1800.891,0.00345534,0.00355852,8.72929,0.00116769
1800.903,0.00375287,0.00374278,8.77306,0.00117661
1800.916,0.00382807,0.00373829,8.88488,0.00127072
1800.928,0.0032883,0.00335109,8.62649,0.00118869
1800.941,0.00381777,0.0036452,8.89255,0.00132302
1800.954,0.00354296,0.00364962,9.06047,0.00138079
1800.966,0.00361177,0.00374755,9.11251,0.00137881
1800.979,0.0037856,0.00380253,8.96381,0.00129467
1800.991,0.00377578,0.00389399,8.94705,0.00125938
1801.004,0.00403776,0.00399945,8.90875,0.0012828
1801.016,0.00380319,0.00388343,8.64789,0.00113722
1801.029,0.00415575,0.00412777,8.79997,0.00108364
1801.042,0.0042375,0.0041027,8.70488,0.00111396
1801.054,0.00372742,0.00395236,8.65077,0.00111822
1801.067,0.00400525,0.00397792,8.79645,0.00117751
1801.079,0.00405109,0.00404063,8.69932,0.00105487
1801.092,0.00388459,0.00401077,8.66153,0.00109834
1801.104,0.00416057,0.00421766,8.61264,0.00104439
1801.124,0.00430089,0.00424362,8.57466,0.00108209
1801.144,0.00415402,0.00406647,8.8957,0.00115625
1801.164,0.00403305,0.00396166,8.66732,0.00106792
1801.184,0.00413439,0.00407024,8.4455,0.00099629
1801.204,0.00398552,0.00400027,8.69606,0.00110107
1801.224,0.00409758,0.00405132,8.90091,0.00122111
1801.244,0.00382928,0.00393474,8.68358,0.0011154
1801.264,0.0037267,0.00364045,8.59789,0.00105172
1801.283,0.003512,0.00353763,8.51423,0.00108275
1801.303,0.00359638,0.00358043,8.6759,0.00114586
1801.323,0.00354202,0.00359669,8.81724,0.00130976
1801.343,0.00376227,0.00357147,8.89363,0.00128493
1801.363,0.00330786,0.00348758,8.78146,0.00119482
1801.383,0.00346274,0.00345823,8.79776,0.00123071
1801.403,0.00342045,0.00355686,8.78053,0.00127747
1801.423,0.00352997,0.00359233,8.82174,0.00131847
1801.443,0.00359622,0.00353237,8.83673,0.00138951
1801.462,0.00358497,0.00357027,8.86795,0.00129564
1801.482,0.00338405,0.00348501,8.6775,0.00119816
1801.502,0.00355509,0.00366482,9.01848,0.00141197
1801.522,0.00361831,0.00358766,8.80143,0.00133825
1801.542,0.00370893,0.00366639,8.88938,0.00135054
1801.562,0.00360758,0.00362156,8.97034,0.00141362
1801.582,0.00406503,0.00389568,9.14389,0.00146034
1801.602,0.00363511,0.00352454,8.8149,0.00123938
1801.626,0.00360954,0.0037061,9.1214,0.00150004
1801.65,0.00352612,0.00360317,9.04544,0.00153025
1801.673,0.00351173,0.00353005,9.06631,0.00154513
1801.697,0.00358534,0.00363971,9.21292,0.00159191
1801.721,0.00344949,0.00348793,8.96865,0.00145618
1801.745,0.0035554,0.00361311,9.25552,0.00167957
1801.769,0.00376405,0.00379676,9.04172,0.00136965
1801.793,0.00383569,0.00389197,9.14312,0.00141856
1801.817,0.00384962,0.00383367,9.46788,0.00150814
1801.841,0.00342007,0.0033539,9.53581,0.00146485
1801.865,0.00352251,0.00349865,9.43909,0.00145114
1801.889,0.00347136,0.00353004,9.69808,0.00153554
1801.913,0.00340041,0.00347768,9.75206,0.00157931
